,DraftYear,Player,College.Univ,Pos,Height.inches,Weight,Wonderlic,Forty.Yard.Dash,Bench.225.Reps,Vert.Leap.inches,Broad.Jump.inches,Shuttle,X3Cone,Forty.Timed.Outside.Combine,Bench.Pressed.Weight,Benched.to.Weight,Player.Height,Player.Vertical,Player.Broad.Jump
295,2004,Arnold Parker,Utah,SS,74,214,NA,4.54,18,35.5,120,4.12,6.98,FALSE,4050,18.92523364,6.1666642,2.95833215,9.999996
296,2010,Arrelious Benn,Illinois,WR,73,219,NA,4.57,20,37,118,NA,NA,FALSE,4500,20.54794521,6.0833309,3.0833321,9.8333294
297,2001,Arther Love,South Carolina State,TE,76,236,NA,4.75,24,36,NA,NA,NA,FALSE,5400,22.88135593,6.3333308,2.9999988,NA
298,2013,Arthur Brown,Kansas State,OLB,73,241,NA,4.62,NA,NA,116,NA,NA,TRUE,NA,NA,6.0833309,NA,9.6666628
299,2010,Arthur Moats,James Madison,OLB,73,246,NA,4.64,24,36.5,122,4.37,7.22,FALSE,5400,21.95121951,6.0833309,3.04166545,10.1666626
300,2002,Artis Hicks,Memphis,OG,77,303,NA,5.08,22,29.5,104,4.64,7.85,FALSE,4950,16.33663366,6.4166641,2.45833235,8.6666632
301,2000,Arturo Freeman,South Carolina,FS,73,188,NA,4.5,14,35.5,124,4.38,6.91,FALSE,3150,16.75531915,6.0833309,2.95833215,10.3333292
302,2012,Asa Jackson,Cal Poly,CB,70,191,NA,4.49,19,34,118,4.03,6.97,FALSE,4275,22.38219895,5.833331,2.8333322,9.8333294
303,2003,Asante Samuel,Central Florida,CB,71,185,NA,4.49,9,35.5,120,4.14,6.95,FALSE,2025,10.94594595,5.9166643,2.95833215,9.999996
304,2009,Asher Allen,Georgia,CB,70,194,NA,4.48,22,35,115,4.3,6.93,FALSE,4950,25.51546392,5.833331,2.9166655,9.5833295
305,2000,Ashley Cooper,Mississippi State,SS,70,208,NA,4.67,16,NA,117,NA,NA,FALSE,3600,17.30769231,5.833331,NA,9.7499961
306,2005,Atari Bigby,Central Florida,SS,71,214,NA,4.65,19,35,NA,4.11,7,TRUE,4275,19.97663551,5.9166643,2.9166655,NA
307,2005,Atcheson Conway,Bowie State,SS,71,218,NA,4.9,14,32,108,4.12,7.39,FALSE,3150,14.44954128,5.9166643,2.6666656,8.9999964
308,2005,Atiyyah Ellison,Missouri,DT,76,305,NA,5.07,25,27.5,103,4.83,8.01,FALSE,5625,18.44262295,6.3333308,2.29166575,8.5833299
309,2003,Aubrayo Franklin,Tennessee,DT,74,307,NA,5.2,NA,27,100,4.79,NA,TRUE,NA,NA,6.1666642,2.2499991,8.33333
310,2012,Audie Cole,North Carolina State,ILB,76,246,NA,4.81,15,35,78,4.29,6.96,FALSE,3375,13.7195122,6.3333308,2.9166655,6.4999974
311,2009,Augustus Parrish,Kent State,OT,76,303,NA,5.35,21,NA,78,NA,NA,FALSE,4725,15.59405941,6.3333308,NA,6.4999974
312,2007,Aundrae Allison,East Carolina,WR,73,198,NA,4.39,NA,37,127,NA,NA,FALSE,NA,NA,6.0833309,3.0833321,10.5833291
313,2010,Austen Lane,Murray State,DE,78,276,NA,4.84,NA,34.5,125,4.6,7.38,FALSE,NA,NA,6.4999974,2.87499885,10.4166625
314,2009,Austin Collie,Brigham Young,WR,73,200,NA,4.56,17,34,120,4.24,6.78,FALSE,3825,19.125,6.0833309,2.8333322,9.999996
315,2012,Austin Davis,Southern Mississippi,QB,73,219,NA,NA,NA,31,109,4.11,6.73,FALSE,NA,NA,6.0833309,2.5833323,9.0833297
316,2003,Austin King,Northwestern University,C,76,299,NA,5.42,20,28,106,4.73,7.99,FALSE,4500,15.05016722,6.3333308,2.3333324,8.8333298
317,2011,Austin Pettis,Boise State,WR,75,209,NA,4.56,14,33.5,120,3.88,6.68,FALSE,3150,15.07177033,6.2499975,2.79166555,9.999996
318,2000,Austin Wheatley,Iowa,TE,76,254,NA,4.66,NA,32.5,121,4.18,6.97,FALSE,NA,NA,6.3333308,2.70833225,10.0833293
319,1999,Autry Denson,Notre Dame,RB,70,197,NA,4.67,20,31,116,4.15,6.97,FALSE,4500,22.84263959,5.833331,2.5833323,9.6666628
320,2003,Avon Cobourne,West Virginia,RB,68,205,NA,4.7,21,31.5,112,4.18,7.21,TRUE,4725,23.04878049,5.6666644,2.62499895,9.3333296
321,2012,B.J. Coleman,Tennessee-Chattanooga,QB,75,233,NA,NA,NA,NA,109,4.38,7.07,FALSE,NA,NA,6.2499975,NA,9.0833297
322,2012,B.J. Cunningham,Michigan State,WR,73,211,NA,4.59,12,31,116,NA,7.1,FALSE,2700,12.79620853,6.0833309,2.5833323,9.6666628
323,2009,B.J. Raji,Boston College,DT,74,337,NA,5.12,33,32,103,4.69,7.9,FALSE,7425,22.03264095,6.1666642,2.6666656,8.5833299
324,2003,B.J. Tucker,Wisconsin,CB,71,188,NA,4.34,16,35,123,4.2,7.25,FALSE,3600,19.14893617,5.9166643,2.9166655,10.2499959
325,2013,B.W. Webb,William & Mary,CB,70,184,NA,4.51,14,40.5,132,3.84,6.82,TRUE,3150,17.11956522,5.833331,3.37499865,10.9999956
326,2006,Babatunde Oshinowo,Stanford University,DT,74,304,NA,5.27,33,32,105,4.57,7.89,FALSE,7425,24.42434211,6.1666642,2.6666656,8.7499965
327,2013,Bacarri Rambo,Georgia,FS,73,211,NA,4.56,17,NA,NA,NA,NA,TRUE,3825,18.12796209,6.0833309,NA,NA
328,2007,Baraka Atkins,University of Miami,DE,77,271,NA,4.69,22,33,111,NA,NA,FALSE,4950,18.26568266,6.4166641,2.7499989,9.2499963
329,2013,Barkevious Mingo,Louisiana State University,OLB,76,241,NA,4.58,NA,37,128,4.39,6.84,TRUE,NA,NA,6.3333308,3.0833321,10.6666624
330,2000,Barrett Green,West Virginia,OLB,73,233,NA,4.56,22,36,120,NA,NA,FALSE,4950,21.24463519,6.0833309,2.9999988,9.999996
331,2005,Barrett Ruud,Nebraska,ILB,75,241,NA,4.75,25,34.5,112,4,7.22,FALSE,5625,23.34024896,6.2499975,2.87499885,9.3333296
332,2006,Barrick Nealy,Texas State,QB,76,226,NA,4.57,NA,32.5,114,4.29,6.94,FALSE,NA,NA,6.3333308,2.70833225,9.4999962
333,2010,Barry Church,Toledo,SS,74,222,NA,4.69,19,36,121,4.17,6.65,FALSE,4275,19.25675676,6.1666642,2.9999988,10.0833293
334,2006,Barry Cofield,Northwestern University,DT,76,304,NA,4.95,35,34,105,4.35,7.43,FALSE,7875,25.90460526,6.3333308,2.8333322,8.7499965
335,1999,Barry Gardner,Northwestern University,ILB,73,242,NA,4.71,25,33,113,4.32,7.42,FALSE,5625,23.24380165,6.0833309,2.7499989,9.4166629
336,2008,Barry Richardson,Clemson,OT,79,320,NA,5.45,24,25.5,100,5.16,8,FALSE,5400,16.875,6.5833307,2.12499915,8.33333
337,2001,Bart Hendricks,Boise State,QB,NA,NA,22,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
338,2000,Bashir Yamini,Iowa,WR,75,191,NA,4.53,NA,33,130,4.18,7.09,FALSE,NA,NA,6.2499975,2.7499989,10.833329
339,2009,Bear Pascoe,Fresno State,TE,77,251,NA,4.96,NA,26.5,107,4.55,7.65,FALSE,NA,NA,6.4166641,2.20833245,8.9166631
340,2012,Beau Reliford,Florida State,TE,77,256,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,6.4166641,NA,NA
341,1999,Ben Adams,University of Texas,OG,77,324,NA,5.36,26,25.5,98,4.83,7.86,FALSE,5850,18.05555556,6.4166641,2.12499915,8.1666634
342,2003,Ben Claxton,Ole Miss,C,75,301,NA,5.16,NA,27,102,4.69,7.81,FALSE,NA,NA,6.2499975,2.2499991,8.4999966
343,2005,Ben Dougherty,Florida A&M,QB,NA,NA,25,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
344,2005,Ben Emanuel,UCLA,FS,75,212,NA,4.57,21,NA,NA,NA,NA,FALSE,4725,22.28773585,6.2499975,NA,NA
345,2007,Ben Grubbs,Auburn,OG,75,311,NA,5.18,29,26.5,103,4.72,7.99,FALSE,6525,20.9807074,6.2499975,2.20833245,8.5833299
346,2001,Ben Hamilton,Minnesota,C,77,303,NA,5.26,17,33.5,106,4.62,7.62,FALSE,3825,12.62376238,6.4166641,2.79166555,8.8333298
347,2004,Ben Hartsock,Ohio State,TE,76,263,NA,4.8,23,35,117,4.03,7.11,FALSE,5175,19.67680608,6.3333308,2.9166655,9.7499961
348,2003,Ben Johnson,Wisconsin,OT,79,329,NA,5.37,30,NA,NA,NA,NA,TRUE,6750,20.51671733,6.5833307,NA,NA
349,2012,Ben Jones,Georgia,C,74,303,NA,5.44,29,30,105,4.74,7.95,FALSE,6525,21.53465347,6.1666642,2.499999,8.7499965
350,2000,Ben Kelly,Colorado,CB,69,183,NA,4.53,17,36,116,3.95,6.63,FALSE,3825,20.90163934,5.7499977,2.9999988,9.6666628
351,2001,Ben Leard,Auburn,QB,NA,NA,22,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
352,2002,Ben Leber,Kansas State,OLB,75,244,NA,4.62,20,32.5,114,4.25,6.75,FALSE,4500,18.44262295,6.2499975,2.70833225,9.4999962
353,2002,Ben Miller,Air Force,C,75,263,NA,4.92,18,37.5,114,4.46,7.28,FALSE,4050,15.39923954,6.2499975,3.12499875,9.4999962
354,1999,Ben Nichols,Colorado,OG,77,307,NA,5.24,29,30,104,4.67,8.22,FALSE,6525,21.25407166,6.4166641,2.499999,8.6666632
355,2006,Ben Obomanu,Auburn,WR,73,205,NA,4.45,NA,38,116,4.23,7.18,FALSE,NA,NA,6.0833309,3.1666654,9.6666628
356,2007,Ben Patrick,Delaware,TE,75,252,NA,4.74,NA,34.5,111,4.31,7.21,FALSE,NA,NA,6.2499975,2.87499885,9.2499963
357,2004,Ben Roethlisberger,Miami of Ohio,QB,77,241,25,4.75,NA,NA,NA,NA,NA,TRUE,NA,NA,6.4166641,NA,NA
