CombineYear,DraftYear,Player,Position,DBPediaCollege_Name,DBPediaURI_College,Conference,Division,gradeNFL,Height.numeric,Weight,fortyYardDash,benchPress,verticalJump,broadJump,twentyYardShuttle,threeConeDrill,Wonderlic
1999,1999,Willie Jones,OT,Grambling State University,http://live.dbpedia.org/resource/Grambling_State_University,Southwestern Conference,Division I-AA,NA,6.5833307,372,5.58,30,26,102,4.78,8.01,NA
1999,1999,Antico Dalton,OLB,Hampton University,http://live.dbpedia.org/resource/Hampton_University,Mid-Eastern Athletic Conference,Division I-AA,NA,6.0833309,242,4.71,30,35,117,4.32,7.49,NA
1999,1999,Ted White,QB,Howard University,http://live.dbpedia.org/resource/Howard_University,Mid-Eastern Athletic Conference,Division I-AA,NA,6.2499975,226,5.13,NA,30.5,106,4.51,7.5,12
1999,1999,Chad Pegues,DT,Illinois State University,http://live.dbpedia.org/resource/Illinois_State_University,Missouri Valley Conference,Division I-AA,NA,6.0833309,289,5.31,25,26,100,4.69,7.88,NA
1999,1999,Matt Graham,SS,Indiana State University,http://live.dbpedia.org/resource/Indiana_State_University,Missouri Valley Conference,Division I-AA,NA,5.9166643,207,4.44,21,35,117,3.86,6.87,NA
1999,1999,Todd Bandhauer,QB,Iowa State University,http://live.dbpedia.org/resource/Iowa_State_University,Big 12 Conference,Division I,NA,NA,NA,NA,NA,NA,NA,NA,NA,31
1999,1999,Todd Bandhaur,QB,Iowa State University,http://live.dbpedia.org/resource/Iowa_State_University,Big 12 Conference,Division I,NA,6.2499975,236,5.26,NA,31,103,4.61,7.66,31
1999,1999,Mark Word,OLB,Jacksonville State University,http://live.dbpedia.org/resource/Jacksonville_State_University,Ohio Valley Conference,Division I-AA,NA,6.4166641,258,4.8,16,31.5,115,4.33,7.44,NA
1999,1999,Darnell McDonald,WR,Kansas State University,http://live.dbpedia.org/resource/Kansas_State_University,Big 12 Conference,Division I,NA,6.2499975,202,4.72,NA,34,113,4.24,7.27,NA
1999,1999,Jeff Kelly,ILB,Kansas State University,http://live.dbpedia.org/resource/Kansas_State_University,Big 12 Conference,Division I,NA,6.0833309,256,4.95,16,32,112,4.37,7.65,NA
1999,1999,Michael Bishop,QB,Kansas State University,http://live.dbpedia.org/resource/Kansas_State_University,Big 12 Conference,Division I,NA,6.0833309,205,4.85,NA,33,113,4.62,7.63,10
1999,1999,Gerald Neasman,CB,Kansas State University,http://live.dbpedia.org/resource/Kansas_State_University,Big 12 Conference,Division I,NA,5.833331,186,4.64,10,31.5,115,4.41,7.96,NA
1999,1999,Justin Swift,TE,Kansas State University,http://live.dbpedia.org/resource/Kansas_State_University,Big 12 Conference,Division I,NA,6.3333308,258,4.81,17,33,111,4.15,6.93,NA
1999,1999,Ryan Young,OT,Kansas State University,http://live.dbpedia.org/resource/Kansas_State_University,Big 12 Conference,Division I,NA,6.4999974,335,5.57,20,NA,NA,NA,NA,NA
1999,1999,Eugene Baker,WR,Kent State University,http://live.dbpedia.org/resource/Kent_State_University,Mid-American Conference,Division I,NA,6.0833309,167,4.46,NA,36.5,126,4.03,6.9,NA
1999,1999,Cletidus Hunt,DT,Kentucky State University,http://live.dbpedia.org/resource/Kentucky_State_University,Southern Intercollegiate Athletic Conference,Division II,NA,6.3333308,293,4.98,17,31.5,111,4.73,8.08,NA
1999,1999,Ulysses Moore,OG,Liberty University,http://live.dbpedia.org/resource/Liberty_University,Big South Conference,Division I-AA,NA,6.1666642,313,5.45,24,26,103,4.67,7.98,NA
1999,1999,Todd McClure,C,Louisiana State University,http://live.dbpedia.org/resource/Louisiana_State_University,Southeastern Conference,Division I,NA,6.1666642,298,5.24,29,28,98,4.51,7.81,NA
1999,1999,Kevin Faulk,RB,Louisiana State University,http://live.dbpedia.org/resource/Louisiana_State_University,Southeastern Conference,Division I,NA,5.6666644,205,4.57,NA,34,114,4.09,7.14,NA
1999,1999,Arnold Miller,DE,Louisiana State University,http://live.dbpedia.org/resource/Louisiana_State_University,Southeastern Conference,Division I,NA,6.3333308,240,4.77,12,33.5,120,4.12,7.01,NA
1999,1999,Chris Cummings,CB,Louisiana State University,http://live.dbpedia.org/resource/Louisiana_State_University,Southeastern Conference,Division I,NA,5.6666644,186,4.48,21,34.5,125,4.14,6.87,NA
1999,1999,Anthony McFarland,DT,Louisiana State University,http://live.dbpedia.org/resource/Louisiana_State_University,Southeastern Conference,Division I,NA,6.0833309,299,4.85,25,28.5,120,4.28,7.98,NA
1999,1999,Joe Wesley,ILB,Louisiana State University,http://live.dbpedia.org/resource/Louisiana_State_University,Southeastern Conference,Division I,NA,6.0833309,229,4.72,15,33,114,4.29,7.6,NA
1999,1999,Troy Edwards,WR,Louisiana Tech University,http://live.dbpedia.org/resource/Louisiana_Tech_University,Western Athletic Conference,Division I,NA,5.833331,191,4.57,NA,36.5,118,4.16,7.37,NA
1999,1999,Cecil Collins,RB,McNeese State University,http://live.dbpedia.org/resource/McNeese_State_University,Southland Conference,Division I-AA,NA,5.7499977,209,4.51,17,33,117,NA,7.21,NA
1999,1999,Paris Johnson,SS,Miami University,http://live.dbpedia.org/resource/Miami_University,Mid-American Conference,Division I,NA,6.1666642,207,4.71,16,35,117,4.32,7.49,NA
1999,1999,Sedrick Irvin,RB,Michigan State University,http://live.dbpedia.org/resource/Michigan_State_University,Big Ten Conference,Division I,NA,5.9166643,223,4.58,20,35,117,NA,NA,NA
1999,1999,Dimitrius Underwood,DE,Michigan State University,http://live.dbpedia.org/resource/Michigan_State_University,Big Ten Conference,Division I,NA,6.4999974,281,4.88,NA,NA,NA,4.39,7.37,NA
