player,season,season_name,salary,agency,agent,salary_amnesty,league,team,player_off_roster_13_14,id_contract_type
Carrick Felix,2016,2015-2016,947276,Stratosphere Sports,Todd Eley,FALSE,nba,Cavaliers,FALSE,U
Carrick Felix,2017,2016-2017,1015696,Stratosphere Sports,Todd Eley,FALSE,nba,Cavaliers,FALSE,TO
Dion Waiters,2014,2013-2014,3894240,Landmark Sports Agency,Rob Pelinka,FALSE,nba,Cavaliers,FALSE,G
Dion Waiters,2015,2014-2015,4062000,Landmark Sports Agency,Rob Pelinka,FALSE,nba,Cavaliers,FALSE,TO
Dion Waiters,2016,2015-2016,5138430,Landmark Sports Agency,Rob Pelinka,FALSE,nba,Cavaliers,FALSE,TO
Dion Waiters,2017,2016-2017,6777589,Landmark Sports Agency,Rob Pelinka,FALSE,nba,Cavaliers,FALSE,QO
Earl Clark,2014,2013-2014,4250000,BDA Sports Management,Kevin Bradbury,FALSE,nba,Cavaliers,FALSE,G
Earl Clark,2015,2014-2015,4250000,BDA Sports Management,Kevin Bradbury,FALSE,nba,Cavaliers,FALSE,U
Jarrett Jack,2014,2013-2014,6300000,Excel Sports Management,Jeff Schwartz,FALSE,nba,Cavaliers,FALSE,G
Jarrett Jack,2015,2014-2015,6300000,Excel Sports Management,Jeff Schwartz,FALSE,nba,Cavaliers,FALSE,G
Jarrett Jack,2016,2015-2016,6300000,Excel Sports Management,Jeff Schwartz,FALSE,nba,Cavaliers,FALSE,QO
Jarrett Jack,2017,2016-2017,6300000,Excel Sports Management,Jeff Schwartz,FALSE,nba,Cavaliers,FALSE,U
Kyrie Irving,2014,2013-2014,5607240,24/7 Sports Management,Jeff Wechsler,FALSE,nba,Cavaliers,FALSE,G
Kyrie Irving,2015,2014-2015,7070730,24/7 Sports Management,Jeff Wechsler,FALSE,nba,Cavaliers,FALSE,TO
Kyrie Irving,2016,2015-2016,9191949,24/7 Sports Management,Jeff Wechsler,FALSE,nba,Cavaliers,FALSE,QO
Matthew Dellavedova,2014,2013-2014,490180,BDA Sports Management,Bill Duffy,FALSE,nba,Cavaliers,FALSE,U
Matthew Dellavedova,2015,2014-2015,816482,BDA Sports Management,Bill Duffy,FALSE,nba,Cavaliers,FALSE,G
Matthew Dellavedova,2016,2015-2016,1147276,BDA Sports Management,Bill Duffy,FALSE,nba,Cavaliers,FALSE,QO
Sergey Karasev,2014,2013-2014,1467840,ASM Sports,Andy Miller,FALSE,nba,Cavaliers,FALSE,G
Sergey Karasev,2015,2014-2015,1533840,ASM Sports,Andy Miller,FALSE,nba,Cavaliers,FALSE,G
Sergey Karasev,2016,2015-2016,1599840,ASM Sports,Andy Miller,FALSE,nba,Cavaliers,FALSE,TO
Sergey Karasev,2017,2016-2017,2463754,ASM Sports,Andy Miller,FALSE,nba,Cavaliers,FALSE,TO
Sergey Karasev,2018,2017-2018,3513313,ASM Sports,Andy Miller,FALSE,nba,Cavaliers,FALSE,QO
Tristan Thompson,2014,2013-2014,4062000,Klutch Sports Management,Rich Paul,FALSE,nba,Cavaliers,FALSE,G
Tristan Thompson,2015,2014-2015,5138430,Klutch Sports Management,Rich Paul,FALSE,nba,Cavaliers,FALSE,TO
Tristan Thompson,2016,2015-2016,6777589,Klutch Sports Management,Rich Paul,FALSE,nba,Cavaliers,FALSE,QO
Tyler Zeller,2014,2013-2014,1633440,Excel Sports Management,Jeff Schwartz,FALSE,nba,Cavaliers,FALSE,G
Tyler Zeller,2015,2014-2015,1703760,Excel Sports Management,Jeff Schwartz,FALSE,nba,Cavaliers,FALSE,TO
Tyler Zeller,2016,2015-2016,2616975,Excel Sports Management,Jeff Schwartz,FALSE,nba,Cavaliers,FALSE,TO
Tyler Zeller,2017,2016-2017,3695169,Excel Sports Management,Jeff Schwartz,FALSE,nba,Cavaliers,FALSE,QO
Avery Bradley,2014,2013-2014,2511432,Lagardere Unlimited,Mitchell Butler,FALSE,nba,Celtics,FALSE,G
Avery Bradley,2015,2014-2015,3581302,Lagardere Unlimited,Mitchell Butler,FALSE,nba,Celtics,FALSE,QO
Brandon Bass,2014,2013-2014,6450000,Rival Sports Group,Tony Dutt,FALSE,nba,Celtics,FALSE,G
Brandon Bass,2015,2014-2015,6900000,Rival Sports Group,Tony Dutt,FALSE,nba,Celtics,FALSE,G
Courtney Lee,2014,2013-2014,5225000,Relativity Sports,Dan Fegan,FALSE,nba,Celtics,FALSE,G
Courtney Lee,2015,2014-2015,5450000,Relativity Sports,Dan Fegan,FALSE,nba,Celtics,FALSE,G
Courtney Lee,2016,2015-2016,5675000,Relativity Sports,Dan Fegan,FALSE,nba,Celtics,FALSE,G
Donte Greene,2014,2013-2014,1027424,Blackwave Media Group,Bill Strickland,FALSE,nba,Celtics,FALSE,U
Donte Greene,2015,2014-2015,1145685,Blackwave Media Group,Bill Strickland,FALSE,nba,Celtics,FALSE,U
Gerald Wallace,2014,2013-2014,10105855,Landmark Sports Agency,Rob Pelinka,FALSE,nba,Celtics,FALSE,G
Gerald Wallace,2015,2014-2015,10105855,Landmark Sports Agency,Rob Pelinka,FALSE,nba,Celtics,FALSE,G
